symbol,date_0d,price_0d,perf_7d,perf_30d,perf_90d,perf_365d,listing_date,days_diff
STAA.JK,2022-03-10 02:00:00,750.0,8.666666666666668,21.333333333333336,54.666666666666664,33.33333333333333,2022-03-10,0
FWCT.JK,2023-02-01 02:00:00,159.0,-29.559748427672954,-27.67295597484277,-42.76729559748428,-55.9748427672956,2023-02-01,0
HAIS.JK,2021-09-01 02:00:00,374.0,-23.52941176470588,-29.946524064171122,-43.31550802139038,-35.294117647058826,2021-09-01,0
KBAG.JK,2020-04-08 02:00:00,135.0,58.51851851851851,119.25925925925927,190.37037037037038,-62.96296296296296,2020-04-08,0
GOOD.JK,2018-10-10 02:00:00,385.0,22.07792207792208,13.246753246753245,-3.6363636363636362,-19.480519480519483,2018-10-10,0
SKBM.JK,2012-09-28 02:00:00,155.0,64.51612903225806,151.61290322580646,151.61290322580646,222.5806451612903,2012-09-28,0
BMRI.JK,2003-07-14 02:00:00,208.95199584960938,0.0,-8.823526834400013,8.823526834400013,47.058824388533324,2003-07-14,0
BBRI.JK,2003-11-10 02:00:00,88.63483428955078,2.5640959428175227,7.692305043793676,69.23076260948419,110.2564009866112,2003-11-10,0
GHON.JK,2018-04-09 02:00:00,1755.0,-10.256410256410255,-37.32193732193732,-45.58404558404558,-21.367521367521366,2018-04-09,0
KIOS.JK,2017-10-05 02:00:00,345.4545593261719,202.22221044350835,344.4444208870167,546.6666578326312,555.5555349428063,2017-10-05,0
KUAS.JK,2021-10-25 02:00:00,262.0,-22.137404580152673,-9.16030534351145,-70.22900763358778,-73.66412213740458,2021-10-25,0
TPMA.JK,2013-02-20 02:00:00,345.0,-4.3478260869565215,-2.898550724637681,2.898550724637681,-15.072463768115943,2013-02-20,0
NASA.JK,2017-08-07 02:00:00,175.0,117.14285714285715,117.14285714285715,127.42857142857143,145.7142857142857,2017-08-07,0
HOME.JK,2008-07-17 02:00:00,168.98599243164062,17.48634225176633,39.344265551665394,14.7540973244701,-34.4262301003028,2008-07-17,0
CPRO.JK,2006-11-28 02:00:00,185.0,21.62162162162162,8.108108108108109,-3.783783783783784,132.43243243243242,2006-11-28,0
TARA.JK,2014-07-11 02:00:00,180.0,53.888888888888886,58.88888888888889,116.11111111111111,160.0,2014-07-11,0
TGUK.JK,2023-07-10 02:00:00,148.0,-19.594594594594593,-33.108108108108105,-16.216216216216218,-66.21621621621621,2023-07-10,0
CSAP.JK,2007-12-12 02:00:00,217.42657470703125,-7.7272741308535995,-9.090909090909092,-39.54545594903542,-30.454546858126324,2007-12-12,0
KRAS.JK,2010-11-10 02:00:00,1200.767333984375,0.7873993334747089,-4.72440616687368,-17.322831083558018,-32.283464166691914,2010-11-10,0
ESSA.JK,2012-02-01 02:00:00,79.90565490722656,29.670334182023517,69.23077657538713,130.7692425206194,229.67036282603326,2012-02-01,0
MASA.JK,2005-06-09 02:00:00,180.0,8.333333333333332,-5.555555555555555,-22.22222222222222,-2.7777777777777777,2005-06-09,0
TFAS.JK,2019-09-17 02:00:00,278.0,-13.66906474820144,-25.179856115107913,-44.96402877697842,-51.438848920863315,2019-09-17,0
GMTD.JK,2000-12-11 02:00:00,105.0,-45.23809523809524,-52.38095238095239,-61.904761904761905,-61.904761904761905,2000-12-11,0
ENAK.JK,2022-02-08 02:00:00,825.0,-15.757575757575756,-1.8181818181818181,14.545454545454545,37.57575757575757,2022-02-08,0
FUTR.JK,2023-02-27 02:00:00,100.0,50.0,25.0,-33.0,-50.0,2023-02-27,0
CHIP.JK,2023-02-08 02:00:00,176.0,35.22727272727273,405.6818181818182,703.9772727272727,1178.4090909090908,2023-02-08,0
PTMP.JK,2023-03-06 02:00:00,143.0,-8.391608391608392,48.25174825174825,-41.25874125874126,105.5944055944056,2023-03-06,0
MSTI.JK,2023-11-08 02:00:00,1450.0,-5.862068965517241,-6.206896551724138,-10.344827586206897,5.517241379310345,2023-11-08,0
EMTK.JK,2010-01-12 02:00:00,73.0,-12.32876712328767,-28.767123287671232,-13.698630136986301,60.273972602739725,2010-01-12,0
KLAS.JK,2023-06-12 02:00:00,197.0,-34.01015228426396,-47.71573604060914,-43.65482233502538,-45.68527918781726,2023-06-12,0
SCMA.JK,2002-07-16 02:00:00,46.0,-2.1739130434782608,2.1739130434782608,-26.08695652173913,-39.130434782608695,2002-07-16,0
SCNP.JK,2020-09-07 02:00:00,148.0,50.0,50.0,67.56756756756756,98.64864864864865,2020-09-07,0
GPRA.JK,2007-10-10 02:00:00,258.7506408691406,1.4492717727785291,7.246382452300407,18.840580222936403,-4.347821215437528,2007-10-10,0
ENZO.JK,2020-09-14 02:00:00,141.0,-29.078014184397162,-64.53900709219859,-64.53900709219859,-64.53900709219859,2020-09-14,0
SBMA.JK,2021-09-08 02:00:00,242.0,92.56198347107438,68.59504132231406,58.67768595041323,-9.917355371900827,2021-09-08,0
CINT.JK,2014-06-27 02:00:00,363.0,-6.887052341597796,-3.8567493112947657,4.683195592286501,0.0,2014-06-27,0
SMKL.JK,2019-07-11 02:00:00,258.0,-3.10077519379845,-3.875968992248062,-9.30232558139535,-32.17054263565892,2019-07-11,0
CPRI.JK,2019-04-11 02:00:00,198.0,-10.606060606060606,-56.56565656565656,-62.62626262626263,-74.74747474747475,2019-04-11,0
SMIL.JK,2023-05-12 02:00:00,135.0,9.62962962962963,0.7407407407407408,8.148148148148149,4.444444444444445,2023-05-12,0
SOFA.JK,2020-07-07 02:00:00,110.0,-23.636363636363637,-32.72727272727273,-16.363636363636363,1.8181818181818181,2020-07-07,0
BSDE.JK,2008-06-06 02:00:00,519.7891235351562,-23.21428802080734,-32.14285672348958,-42.85714621208341,-23.21428802080734,2008-06-06,0
BTPS.JK,2018-05-08 02:00:00,1460.0,3.0821917808219177,3.0821917808219177,11.301369863013697,82.87671232876713,2018-05-08,0
AGRS.JK,2014-12-22 02:00:00,131.048583984375,-11.764700060546785,-25.66844813935075,-16.577534814400817,-54.010694657910676,2014-12-22,0
BLUE.JK,2019-07-08 02:00:00,220.0,184.0909090909091,163.63636363636365,159.0909090909091,126.36363636363637,2019-07-08,0
LEAD.JK,2013-12-11 02:00:00,644.797607421875,-3.5714312759386178,0.0,16.96428672847698,19.642857818984655,2013-12-11,0
GLVA.JK,2019-12-23 02:00:00,338.0,-10.650887573964498,-22.485207100591715,-47.928994082840234,2.366863905325444,2019-12-23,0
WIRG.JK,2022-04-04 02:00:00,226.0,203.09734513274336,353.53982300884957,136.72566371681415,-38.05309734513274,2022-04-04,0
AWAN.JK,2023-04-18 02:00:00,135.0,34.81481481481482,83.7037037037037,97.03703703703704,135.55555555555557,2023-04-18,0
IATA.JK,2006-09-13 02:00:00,135.0,0.0,22.22222222222222,7.4074074074074066,-2.2222222222222223,2006-09-13,0
JSMR.JK,2007-11-12 02:00:00,2045.2100830078125,-3.6585340377946975,-4.878049362789783,-17.073166801168963,-59.99999940314047,2007-11-12,0
SBAT.JK,2020-04-08 02:00:00,141.0,11.347517730496454,-9.929078014184398,-27.659574468085108,-60.99290780141844,2020-04-08,0
BPFI.JK,2009-06-01 02:00:00,69.00439453125,5.785123053190962,3.3057940787285682,5.785123053190962,33.057852336170846,2009-06-01,0
BYAN.JK,2008-08-12 02:00:00,545.0,-11.009174311926607,-30.275229357798167,-68.44036697247707,-4.587155963302752,2008-08-12,0
NETV.JK,2022-01-26 02:00:00,264.0,142.42424242424244,93.18181818181817,23.484848484848484,-25.37878787878788,2022-01-26,0
NASI.JK,2021-12-13 02:00:00,208.0,5.769230769230769,89.42307692307693,52.88461538461539,-54.32692307692307,2021-12-13,0
MICE.JK,2005-12-21 02:00:00,650.0,1.5384615384615385,15.384615384615385,23.076923076923077,47.69230769230769,2005-12-21,0
JMAS.JK,2017-12-18 02:00:00,238.0,133.19327731092437,328.57142857142856,215.12605042016807,276.0504201680672,2017-12-18,0
CBMF.JK,2020-04-09 02:00:00,216.0,-6.481481481481481,-46.75925925925926,-4.62962962962963,-13.88888888888889,2020-04-09,0
AYAM.JK,2023-11-30 02:00:00,135.0,-17.77777777777778,-18.51851851851852,-18.51851851851852,-17.037037037037038,2023-11-30,0
CHEM.JK,2022-07-08 02:00:00,155.0,-21.935483870967744,-20.0,-34.193548387096776,-31.61290322580645,2022-07-08,0
MHKI.JK,2024-04-16 02:00:00,216.0,55.55555555555556,42.592592592592595,0.0,0.0,2024-04-16,0
KMDS.JK,2020-09-07 02:00:00,374.0,60.42780748663101,55.080213903743314,4.27807486631016,20.32085561497326,2020-09-07,0
SAPX.JK,2018-10-03 02:00:00,374.0,69.78609625668449,85.8288770053476,80.4812834224599,164.70588235294116,2018-10-03,0
ATLA.JK,2024-04-16 02:00:00,135.0,46.666666666666664,10.37037037037037,-49.629629629629626,-49.629629629629626,2024-04-16,0
BEBS.JK,2021-03-10 02:00:00,27.0,181.4814814814815,268.8888832374855,529.6296296296297,3137.037037037037,2021-03-10,0
EAST.JK,2019-07-09 02:00:00,134.0,-8.955223880597014,17.91044776119403,-14.17910447761194,-55.970149253731336,2019-07-09,0
IIKP.JK,2002-10-14 02:00:00,77.894287109375,0.7462663177195155,34.32835835514253,105.22388381313567,-67.91044794392816,2002-10-14,0
BTEL.JK,2006-02-03 02:00:00,150.18463134765625,0.0,3.225806451612903,16.129032258064516,67.74193548387096,2006-02-03,0
CBUT.JK,2022-11-08 02:00:00,860.0,-6.395348837209303,65.11627906976744,131.9767441860465,126.74418604651163,2022-11-08,0
BCAP.JK,2001-06-08 02:00:00,37.39183807373047,1.8867897579750186,-5.660379475876771,-5.660379475876771,-3.773579515950037,2001-06-08,0
COWL.JK,2007-12-19 02:00:00,221.0,13.122171945701359,60.633484162895925,87.78280542986425,85.52036199095022,2007-12-19,0
ACST.JK,2013-06-24 02:00:00,1447.6280517578125,11.5044233609178,-1.769909340348221,-10.619464474525568,-16.283186169050616,2013-06-24,0
SOCI.JK,2014-12-03 02:00:00,620.0,6.451612903225806,4.838709677419355,-8.870967741935484,-25.967741935483872,2014-12-03,0
TRIO.JK,2009-04-14 02:00:00,230.0,-6.521739130434782,-2.1739130434782608,-4.3478260869565215,-8.695652173913043,2009-04-14,0
STAR.JK,2011-07-13 02:00:00,138.0,2.1739130434782608,81.15942028985508,88.40579710144928,-63.76811594202898,2011-07-13,0
RMKE.JK,2021-12-07 02:00:00,200.0,10.0,13.0,104.0,367.5,2021-12-07,0
HYGN.JK,2024-02-13 02:00:00,165.0,5.454545454545454,-11.515151515151516,-21.21212121212121,-13.939393939393941,2024-02-13,0
BBKP.JK,2006-07-10 02:00:00,258.33551025390625,-6.578941772715341,15.789476792935922,15.789476792935922,55.26316286869748,2006-07-10,0
JARR.JK,2022-08-04 02:00:00,374.0,25.668449197860966,17.11229946524064,-16.0427807486631,-49.19786096256685,2022-08-04,0
LCKM.JK,2018-01-16 02:00:00,312.0,156.4102564102564,47.43589743589743,23.717948717948715,-9.615384615384617,2018-01-16,0
